,Microsec,Flight_Date,SenseLong,SenseLat,CH4,Peak,Source_Name,points,Utmlong,Utmlat
4447,1943000000.0,2022-07-18 17:32:06,-83.5586928,42.404942,8,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5586928 42.404942),289437.4985722025,4697909.778646153
4448,1944000000.0,2022-07-18 17:32:07,-83.5587068,42.4049363,7,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5587068 42.4049363),289436.32732480444,4697909.180400445
4449,1945000000.0,2022-07-18 17:32:08,-83.5587235,42.4049363,8,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5587235 42.4049363),289434.9529476521,4697909.221818672
4450,1946000000.0,2022-07-18 17:32:09,-83.5587406,42.4049341,6,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5587406 42.4049341),289433.53828889097,4697909.019926037
4451,1947000000.0,2022-07-18 17:32:10,-83.5587506,42.4049315,6,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5587506 42.4049315),289432.7066074852,4697908.756005708
4452,1948000000.0,2022-07-18 17:32:11,-83.558756,42.4049295,3,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.558756 42.4049295),289432.2555049467,4697908.547304814
4453,1949000000.0,2022-07-18 17:32:12,-83.5587601,42.404929,0,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5587601 42.404929),289431.9164096895,4697908.501950077
4454,1950000000.0,2022-07-18 17:32:13,-83.5587675,42.404928,0,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5587675 42.404928),289431.30405759404,4697908.409256505
4455,1951000000.0,2022-07-18 17:32:14,-83.5587816,42.4049266,0,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5587816 42.4049266),289430.1389699351,4697908.288761527
4456,1952000000.0,2022-07-18 17:32:15,-83.5587926,42.4049233,0,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5587926 42.4049233),289429.2226476144,4697907.949588967
4457,1953000000.0,2022-07-18 17:32:16,-83.5587966,42.4049258,0,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5587966 42.4049258),289428.9018219508,4697908.237127076
4458,1954000000.0,2022-07-18 17:32:17,-83.5587983,42.4049228,0,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5587983 42.4049228),289428.7518754171,4697907.908202717
4459,1955000000.0,2022-07-18 17:32:18,-83.558798,42.404922,0,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.558798 42.404922),289428.7738875394,4697907.818621129
4460,1956000000.0,2022-07-18 17:32:19,-83.5587966,42.4049183,0,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5587966 42.4049183),289428.87672233826,4697907.404275276
4461,1957000000.0,2022-07-18 17:32:20,-83.5588025,42.4049193,0,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5588025 42.4049193),289428.3945104225,4697907.52995545
4462,1958000000.0,2022-07-18 17:32:21,-83.5588105,42.4049148,0,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5588105 42.4049148),289427.7210661268,4697907.050086144
4463,1959000000.0,2022-07-18 17:32:22,-83.5588235,42.4049133,0,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5588235 42.4049133),289426.64617134817,4697906.915758799
4464,1960000000.0,2022-07-18 17:32:23,-83.5588351,42.4049111,0,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5588351 42.4049111),289425.6841511451,4697906.700226434
4465,1961000000.0,2022-07-18 17:32:24,-83.5588483,42.404908,0,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5588483 42.404908),289424.58744194906,4697906.3887204
4466,1962000000.0,2022-07-18 17:32:25,-83.5588513,42.4049041,0,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5588513 42.4049041),289424.3274956625,4697905.963078254
4467,1963000000.0,2022-07-18 17:32:26,-83.5588553,42.4049086,0,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5588553 42.4049086),289424.01336346695,4697906.472710403
4468,1964000000.0,2022-07-18 17:32:27,-83.5588546,42.4049118,0,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5588546 42.4049118),289424.0816815245,4697906.826324319
4469,1965000000.0,2022-07-18 17:32:28,-83.5588615,42.4049138,0,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5588615 42.4049138),289423.5205182674,4697907.065532008
4470,1966000000.0,2022-07-18 17:32:29,-83.5588668,42.4049181,0,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5588668 42.4049181),289423.0987293694,4697907.556179183
4471,1967000000.0,2022-07-18 17:32:30,-83.5588763,42.404913,0,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5588763 42.404913),289422.2998295541,4697907.01340266
4472,1968000000.0,2022-07-18 17:32:31,-83.5589046,42.4049043,0,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5589046 42.4049043),289419.94167754974,4697906.117487147
4473,1969000000.0,2022-07-18 17:32:32,-83.5589215,42.4049001,0,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5589215 42.4049001),289418.53678359836,4697905.693007631
4474,1970000000.0,2022-07-18 17:32:33,-83.5589343,42.404907,0,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5589343 42.404907),289417.50646103127,4697906.49097964
4475,1971000000.0,2022-07-18 17:32:34,-83.5589506,42.4049073,0,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5589506 42.4049073),289416.16600648995,4697906.564723477
4476,1972000000.0,2022-07-18 17:32:35,-83.5589671,42.404911,0,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5589671 42.404911),289414.8204715922,4697907.016523135
4477,1973000000.0,2022-07-18 17:32:36,-83.5589836,42.4049161,0,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5589836 42.4049161),289413.479622457,4697907.623788732
4478,1974000000.0,2022-07-18 17:32:37,-83.5589983,42.4049156,0,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5589983 42.4049156),289412.2681675182,4697907.6047271695
4479,1975000000.0,2022-07-18 17:32:38,-83.5590058,42.4049081,3,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5590058 42.4049081),289411.625830392,4697906.790478444
4480,1976000000.0,2022-07-18 17:32:39,-83.559022,42.4049058,5,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.559022 42.4049058),289410.28490373713,4697906.575253408
4481,1977000000.0,2022-07-18 17:32:40,-83.5590293,42.4049066,4,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5590293 42.4049066),289409.6868053259,4697906.682198106
4482,1978000000.0,2022-07-18 17:32:41,-83.5590266,42.404905,2,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5590266 42.404905),289409.9036550615,4697906.497825874
4483,1979000000.0,2022-07-18 17:32:42,-83.5590246,42.4049086,0,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5590246 42.4049086),289410.0803000985,4697906.892633876
4484,1980000000.0,2022-07-18 17:32:43,-83.5590225,42.4049093,0,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5590225 42.4049093),289410.2554688854,4697906.965157803
4485,1981000000.0,2022-07-18 17:32:44,-83.5590295,42.4049083,0,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5590295 42.4049083),289409.6760354741,4697906.871473938
4486,1982000000.0,2022-07-18 17:32:45,-83.5590361,42.404912,0,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5590361 42.404912),289409.1452518349,4697907.298718415
4487,1983000000.0,2022-07-18 17:32:46,-83.5590445,42.4049113,6,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5590445 42.4049113),289408.4516052153,4697907.241821346
4488,1984000000.0,2022-07-18 17:32:47,-83.559049,42.4049136,8,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.559049 42.4049136),289408.0889618844,4697907.508391284
4489,1985000000.0,2022-07-18 17:32:48,-83.5590596,42.4049221,5,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5590596 42.4049221),289407.2450515508,4697908.47858291
